exp_id,organ_group,cell_group,development_group,system_group,Biosample term id,Biosample term name,Biosample type,Biosample organism,Assay,Experiment target,File assembly,Donor(s)
ENCSR702JYV,brain,unknown,ectoderm,central_nervous,UBERON:0001891,midbrain,tissue,Mus musculus,Histone ChIP-seq,H3K36me3-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR703TBR,brain,unknown,ectoderm,central_nervous,UBERON:0002028,hindbrain,tissue,Mus musculus,Histone ChIP-seq,H3K9me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR704IWS,epithelium,unknown,ectoderm,unknown,UBERON:0001049,neural tube,tissue,Mus musculus,Histone ChIP-seq,H3K4me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR706PSQ,brain,unknown,ectoderm,central_nervous,UBERON:0001891,midbrain,tissue,Mus musculus,Histone ChIP-seq,H3K4me2-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR706SZI,embryo,unknown,unknown,unknown,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,Histone ChIP-seq,H3K9me3-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR707DZS,brain,unknown,ectoderm,central_nervous,UBERON:0001891,midbrain,tissue,Mus musculus,Histone ChIP-seq,H3K4me2-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR709CLU,limb,unknown,ectoderm,musculature,UBERON:0002101,limb,tissue,Mus musculus,Histone ChIP-seq,H3K27me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR711SVB,kidney,unknown,mesoderm,excretory,UBERON:0002113,kidney,tissue,Mus musculus,Histone ChIP-seq,H3K27ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR717XCU,brain,unknown,ectoderm,central_nervous,UBERON:0001890,forebrain,tissue,Mus musculus,Histone ChIP-seq,H3K9ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR718CAJ,brain,unknown,ectoderm,central_nervous,UBERON:0002028,hindbrain,tissue,Mus musculus,Histone ChIP-seq,H3K9ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR721MSV,brain,unknown,ectoderm,central_nervous,UBERON:0002028,hindbrain,tissue,Mus musculus,Histone ChIP-seq,H3K9ac-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR723IXU,embryo,unknown,unknown,unknown,UBERON:0000922,embryo,tissue,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR724UJS,blood,hematopoietic_cell,endoderm,immune,CL:0000815,regulatory T cell,primary cell,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO820VCL/
ENCSR730MYK,immune_organ,unknown,endoderm,endocrine,UBERON:0002370,thymus,tissue,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO509HIY/
ENCSR731KRE,brain,unknown,ectoderm,central_nervous,UBERON:0002028,hindbrain,tissue,Mus musculus,Histone ChIP-seq,H3K4me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR731OMP,liver,unknown,endoderm,endocrine,UBERON:0002107,liver,tissue,Mus musculus,Histone ChIP-seq,H3K4me2-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR732IZK,spinal_cord,neural_cell,ectoderm,central_nervous,EFO:0007601,MN1,cell line,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR732OTZ,kidney,unknown,mesoderm,excretory,UBERON:0002113,kidney,tissue,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR734IEL,brain,unknown,ectoderm,central_nervous,UBERON:0002028,hindbrain,tissue,Mus musculus,Histone ChIP-seq,H3K9ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR735VEJ,brain,unknown,ectoderm,central_nervous,UBERON:0001890,forebrain,tissue,Mus musculus,Histone ChIP-seq,H3K27me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR736GVO,brain,unknown,ectoderm,central_nervous,UBERON:0001890,forebrain,tissue,Mus musculus,Histone ChIP-seq,H3K27me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR737JHU,brain,unknown,ectoderm,central_nervous,UBERON:0001890,forebrain,tissue,Mus musculus,Histone ChIP-seq,H3K9me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR737QWV,limb,unknown,ectoderm,musculature,UBERON:0002101,limb,tissue,Mus musculus,Histone ChIP-seq,H3K27ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR739DVM,brain,unknown,ectoderm,central_nervous,UBERON:0001890,forebrain,tissue,Mus musculus,Histone ChIP-seq,H3K4me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR740DYF,kidney,unknown,mesoderm,excretory,UBERON:0002113,kidney,tissue,Mus musculus,Histone ChIP-seq,H3K27me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR742DUR,lung,unknown,endoderm,respiratory,UBERON:0002048,lung,tissue,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR744LCN,lung,unknown,endoderm,respiratory,UBERON:0002048,lung,tissue,Mus musculus,Histone ChIP-seq,H3K9ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR747VPY,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,Histone ChIP-seq,H3K4me2-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR747ZXL,brain,unknown,ectoderm,central_nervous,UBERON:0001891,midbrain,tissue,Mus musculus,Histone ChIP-seq,H3K36me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR748BQH,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,Histone ChIP-seq,H3K4me2-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR749ILN,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR749PZB,intestine,unknown,endoderm,digestive,UBERON:0000160,intestine,tissue,Mus musculus,Histone ChIP-seq,H3K9ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR751AAB,limb,unknown,ectoderm,musculature,UBERON:0002101,limb,tissue,Mus musculus,Histone ChIP-seq,H3K4me1-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR751HEG,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,Histone ChIP-seq,H3K9ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR754AXU,brain,unknown,ectoderm,central_nervous,UBERON:0001891,midbrain,tissue,Mus musculus,Histone ChIP-seq,H3K9me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR755PMX,embryo,unknown,unknown,unknown,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,Histone ChIP-seq,H3K9ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR755SGK,brain,unknown,ectoderm,central_nervous,UBERON:0001891,midbrain,tissue,Mus musculus,Histone ChIP-seq,H3K4me2-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR756SPS,brain,unknown,ectoderm,central_nervous,UBERON:0001890,forebrain,tissue,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR758FWH,lung,unknown,endoderm,respiratory,UBERON:0002048,lung,tissue,Mus musculus,Histone ChIP-seq,H3K27me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR758IRM,kidney,unknown,mesoderm,excretory,UBERON:0002113,kidney,tissue,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR758UAI,embryo,unknown,unknown,unknown,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,Histone ChIP-seq,H3K4me2-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR759RVE,limb,unknown,ectoderm,musculature,UBERON:0002101,limb,tissue,Mus musculus,Histone ChIP-seq,H3K4me2-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR764UIE,brain,unknown,ectoderm,central_nervous,UBERON:0001891,midbrain,tissue,Mus musculus,Histone ChIP-seq,H3K36me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR765JWZ,embryo,unknown,unknown,unknown,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,Histone ChIP-seq,H3K4me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR765SJF,limb,unknown,ectoderm,musculature,UBERON:0002101,limb,tissue,Mus musculus,Histone ChIP-seq,H3K27me3-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR765UOU,brain,unknown,ectoderm,central_nervous,UBERON:0001891,midbrain,tissue,Mus musculus,Histone ChIP-seq,H3K9me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR767AJS,brain,unknown,ectoderm,central_nervous,UBERON:0001891,midbrain,tissue,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR769ITO,brain,unknown,ectoderm,central_nervous,UBERON:0001891,midbrain,tissue,Mus musculus,Histone ChIP-seq,H3K9me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR770OXU,liver,unknown,endoderm,endocrine,UBERON:0002107,liver,tissue,Mus musculus,Histone ChIP-seq,H3K4me1-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR771ILS,brain,unknown,ectoderm,central_nervous,UBERON:0002028,hindbrain,tissue,Mus musculus,Histone ChIP-seq,H3K4me2-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR773EGV,lung,unknown,endoderm,respiratory,UBERON:0002048,lung,tissue,Mus musculus,Histone ChIP-seq,H3K9me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR773SAG,brain,unknown,ectoderm,central_nervous,UBERON:0001891,midbrain,tissue,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR774TQO,embryo,unknown,unknown,unknown,UBERON:0000922,embryo,tissue,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR775YJL,embryo,unknown,unknown,unknown,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR776QRL,epithelium,unknown,ectoderm,unknown,UBERON:0001049,neural tube,tissue,Mus musculus,Histone ChIP-seq,H3K36me3-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR776RJR,lung,unknown,endoderm,respiratory,UBERON:0002048,lung,tissue,Mus musculus,Histone ChIP-seq,H3K36me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR779MSI,embryo,unknown,unknown,unknown,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,Histone ChIP-seq,H3K9me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR780NWL,embryo,unknown,unknown,unknown,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,Histone ChIP-seq,H3K9ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR781ORQ,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,Histone ChIP-seq,H3K27me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR782DEA,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,Histone ChIP-seq,H3K4me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR782DGO,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,Histone ChIP-seq,H3K4me1-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR782SUW,brain,unknown,ectoderm,central_nervous,UBERON:0001890,forebrain,tissue,Mus musculus,Histone ChIP-seq,H3K4me2-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR784TLR,brain,unknown,ectoderm,central_nervous,UBERON:0002028,hindbrain,tissue,Mus musculus,Histone ChIP-seq,H3K27ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR785NEL,liver,unknown,endoderm,endocrine,UBERON:0002107,liver,tissue,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR789AYI,liver,unknown,endoderm,endocrine,UBERON:0002107,liver,tissue,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR790LOX,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,Histone ChIP-seq,H3K27me3-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR791AJY,brain,unknown,ectoderm,central_nervous,UBERON:0001890,forebrain,tissue,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR793RAV,bone_element,hematopoietic_cell,mesoderm,circulatory,CL:0000765,erythroblast,primary cell,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO072AAA/
ENCSR795UOC,liver,unknown,endoderm,endocrine,UBERON:0002107,liver,tissue,Mus musculus,Histone ChIP-seq,H3K9ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR797EYS,brain,unknown,ectoderm,central_nervous,UBERON:0002028,hindbrain,tissue,Mus musculus,Histone ChIP-seq,H3K27ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR798FDL,brain,unknown,ectoderm,central_nervous,UBERON:0002028,hindbrain,tissue,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR798VHN,stomach,unknown,endoderm,digestive,UBERON:0000945,stomach,tissue,Mus musculus,Histone ChIP-seq,H3K9ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR802RET,liver,unknown,endoderm,endocrine,UBERON:0002107,liver,tissue,Mus musculus,Histone ChIP-seq,H3K27ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR809NWL,brain,unknown,ectoderm,central_nervous,UBERON:0002028,hindbrain,tissue,Mus musculus,Histone ChIP-seq,H3K36me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR810EOA,limb,unknown,ectoderm,musculature,UBERON:0002101,limb,tissue,Mus musculus,Histone ChIP-seq,H3K4me1-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR810HQR,brain,unknown,ectoderm,central_nervous,UBERON:0001890,forebrain,tissue,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR813SCQ,embryo,unknown,unknown,unknown,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,Histone ChIP-seq,H3K27ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR819QOJ,brain,unknown,ectoderm,central_nervous,UBERON:0001891,midbrain,tissue,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR820ACB,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR821GHK,kidney,unknown,mesoderm,excretory,UBERON:0002113,kidney,tissue,Mus musculus,Histone ChIP-seq,H3K9me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR825OWH,lung,unknown,endoderm,respiratory,UBERON:0002048,lung,tissue,Mus musculus,Histone ChIP-seq,H3K4me1-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR825ZJV,brain,unknown,ectoderm,central_nervous,UBERON:0001890,forebrain,tissue,Mus musculus,Histone ChIP-seq,H3K27ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR826JKN,blood,hematopoietic_cell,unknown,immune,NTR:0004148,activated regulatory T-cell,primary cell,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO820VCL/
ENCSR826TJQ,epithelium,unknown,ectoderm,unknown,UBERON:0001049,neural tube,tissue,Mus musculus,Histone ChIP-seq,H3K4me1-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR829YGD,intestine,unknown,endoderm,digestive,UBERON:0000160,intestine,tissue,Mus musculus,Histone ChIP-seq,H3K4me1-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR831EKS,brain,unknown,ectoderm,central_nervous,UBERON:0002028,hindbrain,tissue,Mus musculus,Histone ChIP-seq,H3K4me2-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR831YAX,brain,unknown,ectoderm,central_nervous,UBERON:0001890,forebrain,tissue,Mus musculus,Histone ChIP-seq,H3K27me3-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR835BZO,brain,unknown,ectoderm,central_nervous,UBERON:0001890,forebrain,tissue,Mus musculus,Histone ChIP-seq,H3K4me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR836PUC,brain,unknown,ectoderm,central_nervous,UBERON:0001890,forebrain,tissue,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR837SKW,brain,unknown,ectoderm,central_nervous,UBERON:0002028,hindbrain,tissue,Mus musculus,Histone ChIP-seq,H3K27me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR837TJD,adrenal_gland,unknown,ectoderm,endocrine,UBERON:0002369,adrenal gland,tissue,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO509HIY/
ENCSR839WFP,lung,unknown,endoderm,respiratory,UBERON:0002048,lung,tissue,Mus musculus,Histone ChIP-seq,H3K4me3-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR840QFC,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,Histone ChIP-seq,H3K36me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR846PJO,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,Histone ChIP-seq,H3K27ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR846ZCW,liver,unknown,endoderm,endocrine,UBERON:0002107,liver,tissue,Mus musculus,Histone ChIP-seq,H3K9me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR846ZTT,kidney,unknown,mesoderm,excretory,UBERON:0002113,kidney,tissue,Mus musculus,Histone ChIP-seq,H3K4me2-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR855NKG,liver,unknown,endoderm,endocrine,UBERON:0002107,liver,tissue,Mus musculus,Histone ChIP-seq,H3K9me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR857GQI,brain,unknown,ectoderm,central_nervous,UBERON:0001891,midbrain,tissue,Mus musculus,Histone ChIP-seq,H3K27me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR857MYS,embryo,embryonic_cell,unknown,unknown,EFO:0007751,E14TG2a.4,cell line,Mus musculus,Histone ChIP-seq,H3K9me3-mouse,mm10,/mouse-donors/ENCDO015AAA/
ENCSR858AUB,lung,unknown,endoderm,respiratory,UBERON:0002048,lung,tissue,Mus musculus,Histone ChIP-seq,H3K4me1-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR861MUP,lung,unknown,endoderm,respiratory,UBERON:0002048,lung,tissue,Mus musculus,Histone ChIP-seq,H3K27me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR862JVD,blood,hematopoietic_cell,mesoderm,immune,CL:0000576,monocyte,primary cell,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO072AAA/
ENCSR863VHE,limb,unknown,ectoderm,musculature,UBERON:0002101,limb,tissue,Mus musculus,Histone ChIP-seq,H3K27ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR864DSI,brain,unknown,ectoderm,central_nervous,UBERON:0001891,midbrain,tissue,Mus musculus,Histone ChIP-seq,H3K9me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR864OWV,brain,unknown,ectoderm,central_nervous,UBERON:0002028,hindbrain,tissue,Mus musculus,Histone ChIP-seq,H3K36me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR868FWZ,liver,unknown,endoderm,endocrine,UBERON:0002107,liver,tissue,Mus musculus,Histone ChIP-seq,H3K9ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR871CGP,limb,unknown,ectoderm,musculature,UBERON:0002101,limb,tissue,Mus musculus,Histone ChIP-seq,H3K36me3-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR871KVM,intestine,unknown,endoderm,digestive,UBERON:0000160,intestine,tissue,Mus musculus,Histone ChIP-seq,H3K27me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR871YCT,limb,unknown,ectoderm,musculature,UBERON:0002101,limb,tissue,Mus musculus,Histone ChIP-seq,H3K36me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR872WGX,stomach,unknown,endoderm,digestive,UBERON:0000945,stomach,tissue,Mus musculus,Histone ChIP-seq,H3K36me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR875KRK,brain,unknown,ectoderm,central_nervous,UBERON:0001890,forebrain,tissue,Mus musculus,Histone ChIP-seq,H3K4me1-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR875ZAO,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,Histone ChIP-seq,H3K4me3-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR876SYO,embryo,unknown,unknown,unknown,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR883ASH,kidney,unknown,mesoderm,excretory,UBERON:0002113,kidney,tissue,Mus musculus,Histone ChIP-seq,H3K4me1-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR884MYD,lung,unknown,endoderm,respiratory,UBERON:0002048,lung,tissue,Mus musculus,Histone ChIP-seq,H3K27ac-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR886DWH,embryo,unknown,unknown,unknown,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,Histone ChIP-seq,H3K4me2-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR886IHN,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,Histone ChIP-seq,H3K4me1-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR889MYY,liver,unknown,endoderm,endocrine,UBERON:0002107,liver,tissue,Mus musculus,Histone ChIP-seq,H3K9ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR889WQX,brain,unknown,ectoderm,central_nervous,UBERON:0001870,frontal cortex,tissue,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR890ACP,limb,unknown,ectoderm,musculature,UBERON:0002101,limb,tissue,Mus musculus,Histone ChIP-seq,H3K9me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR891SAW,epithelium,unknown,ectoderm,unknown,UBERON:0001049,neural tube,tissue,Mus musculus,Histone ChIP-seq,H3K27ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR894HWV,extraembryonic_component,unknown,unknown,unknown,UBERON:0001040,yolk sac,tissue,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR894JAS,brain,unknown,ectoderm,central_nervous,UBERON:0001890,forebrain,tissue,Mus musculus,Histone ChIP-seq,H3K9me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR895BMP,lung,unknown,endoderm,respiratory,UBERON:0002048,lung,tissue,Mus musculus,Histone ChIP-seq,H3K27ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR896XIN,limb,unknown,ectoderm,musculature,UBERON:0002101,limb,tissue,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR897WBY,limb,unknown,ectoderm,musculature,UBERON:0002101,limb,tissue,Mus musculus,Histone ChIP-seq,H3K27ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR898WIS,liver,unknown,endoderm,endocrine,UBERON:0002107,liver,tissue,Mus musculus,Histone ChIP-seq,H3K9ac-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR903GMO,brain,unknown,ectoderm,central_nervous,UBERON:0001890,forebrain,tissue,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR905FFU,limb,unknown,ectoderm,musculature,UBERON:0002101,limb,tissue,Mus musculus,Histone ChIP-seq,H3K27ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR906RTN,limb,unknown,ectoderm,musculature,UBERON:0002101,limb,tissue,Mus musculus,Histone ChIP-seq,H3K27me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR906UJW,brain,unknown,ectoderm,central_nervous,UBERON:0001890,forebrain,tissue,Mus musculus,Histone ChIP-seq,H3K4me2-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR907CPZ,stomach,unknown,endoderm,digestive,UBERON:0000945,stomach,tissue,Mus musculus,Histone ChIP-seq,H3K4me1-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR912IXU,kidney,unknown,mesoderm,excretory,UBERON:0002113,kidney,tissue,Mus musculus,Histone ChIP-seq,H3K9ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR914PYX,bone_element,hematopoietic_cell,mesoderm,unknown,CL:0000049,common myeloid progenitor,primary cell,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO072AAA/
ENCSR914QGB,embryo,unknown,unknown,unknown,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,Histone ChIP-seq,H3K4me1-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR916CBN,stomach,unknown,endoderm,digestive,UBERON:0000945,stomach,tissue,Mus musculus,Histone ChIP-seq,H3K4me3-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR918ZSJ,epithelium,unknown,ectoderm,unknown,UBERON:0001049,neural tube,tissue,Mus musculus,Histone ChIP-seq,H3K4me1-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR919DDC,intestine,unknown,endoderm,digestive,UBERON:0000160,intestine,tissue,Mus musculus,Histone ChIP-seq,H3K36me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR921ILW,brain,unknown,ectoderm,central_nervous,UBERON:0002028,hindbrain,tissue,Mus musculus,Histone ChIP-seq,H3K4me1-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR924FJQ,lung,unknown,endoderm,respiratory,UBERON:0002048,lung,tissue,Mus musculus,Histone ChIP-seq,H3K4me2-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR928CYU,brain,unknown,ectoderm,central_nervous,UBERON:0002028,hindbrain,tissue,Mus musculus,Histone ChIP-seq,H3K4me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR928IYZ,epithelium,unknown,ectoderm,unknown,UBERON:0001049,neural tube,tissue,Mus musculus,Histone ChIP-seq,H3K27me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR929GXP,brain,unknown,ectoderm,central_nervous,UBERON:0001891,midbrain,tissue,Mus musculus,Histone ChIP-seq,H3K27me3-mouse,mm10,/mouse-donors/ENCDO469XMJ/
