exp_id,organ_group,cell_group,development_group,system_group,Biosample term id,Biosample term name,Biosample type,Biosample organism,Assay,Experiment target,File assembly,Donor(s)
ENCSR552ABC,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR553IWV,brain,unknown,ectoderm,central_nervous,UBERON:0001891,midbrain,tissue,Mus musculus,Histone ChIP-seq,H3K27ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR554JQP,brain,unknown,ectoderm,central_nervous,UBERON:0002037,cerebellum,tissue,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR554TSO,brain,unknown,ectoderm,central_nervous,UBERON:0001891,midbrain,tissue,Mus musculus,Histone ChIP-seq,H3K4me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR556DLJ,stomach,unknown,endoderm,digestive,UBERON:0000945,stomach,tissue,Mus musculus,Histone ChIP-seq,H3K9me3-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR556ZUY,brain,unknown,ectoderm,central_nervous,UBERON:0001890,forebrain,tissue,Mus musculus,Histone ChIP-seq,H3K4me1-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR557SVH,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,Histone ChIP-seq,H3K9me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR558NWQ,brain,unknown,ectoderm,central_nervous,UBERON:0001890,forebrain,tissue,Mus musculus,Histone ChIP-seq,H3K36me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR559FAJ,brain,unknown,ectoderm,central_nervous,UBERON:0001890,forebrain,tissue,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR560CIG,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,Histone ChIP-seq,H3K36me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR561FZE,liver,unknown,endoderm,endocrine,UBERON:0002107,liver,tissue,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR564JKR,kidney,unknown,mesoderm,excretory,UBERON:0002113,kidney,tissue,Mus musculus,Histone ChIP-seq,H3K27me3-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR564XSR,brain,unknown,ectoderm,central_nervous,UBERON:0001890,forebrain,tissue,Mus musculus,Histone ChIP-seq,H3K27me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR569DBO,liver,unknown,endoderm,endocrine,UBERON:0002107,liver,tissue,Mus musculus,Histone ChIP-seq,H3K36me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR569UCG,kidney,unknown,mesoderm,excretory,UBERON:0002113,kidney,tissue,Mus musculus,Histone ChIP-seq,H3K9ac-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR570HJI,liver,unknown,endoderm,endocrine,UBERON:0002107,liver,tissue,Mus musculus,Histone ChIP-seq,H3K27me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR571HOT,epithelium,unknown,ectoderm,unknown,UBERON:0001049,neural tube,tissue,Mus musculus,Histone ChIP-seq,H3K9ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR571WQI,brain,unknown,ectoderm,central_nervous,UBERON:0001891,midbrain,tissue,Mus musculus,Histone ChIP-seq,H3K9me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR572KYR,intestine,unknown,endoderm,digestive,UBERON:0000160,intestine,tissue,Mus musculus,Histone ChIP-seq,H3K4me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR574VME,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,Histone ChIP-seq,H3K27ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR575YLW,lung,unknown,endoderm,respiratory,UBERON:0002048,lung,tissue,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO509HIY/
ENCSR576XBN,brain,unknown,ectoderm,central_nervous,UBERON:0002028,hindbrain,tissue,Mus musculus,Histone ChIP-seq,H3K9ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR577SDJ,liver,unknown,endoderm,endocrine,UBERON:0002107,liver,tissue,Mus musculus,Histone ChIP-seq,H3K4me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR578RLI,liver,unknown,endoderm,endocrine,UBERON:0002107,liver,tissue,Mus musculus,Histone ChIP-seq,H3K4me2-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR579RZO,epithelium,unknown,ectoderm,unknown,UBERON:0001049,neural tube,tissue,Mus musculus,Histone ChIP-seq,H3K4me2-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR579UVB,lung,unknown,endoderm,respiratory,UBERON:0002048,lung,tissue,Mus musculus,Histone ChIP-seq,H3K9me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR580MEU,epithelium,unknown,ectoderm,unknown,UBERON:0001049,neural tube,tissue,Mus musculus,Histone ChIP-seq,H3K27me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR581EJK,brain,unknown,ectoderm,central_nervous,UBERON:0001891,midbrain,tissue,Mus musculus,Histone ChIP-seq,H3K4me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR581FAT,stomach,unknown,endoderm,digestive,UBERON:0000945,stomach,tissue,Mus musculus,Histone ChIP-seq,H3K36me3-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR581ZXI,spleen,unknown,mesoderm,immune,UBERON:0002106,spleen,tissue,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO509HIY/
ENCSR582IBX,embryo,unknown,unknown,unknown,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,Histone ChIP-seq,H3K36me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR582SPN,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,Histone ChIP-seq,H3K27ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR592GQI,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,Histone ChIP-seq,H3K4me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR594HUH,brain,unknown,ectoderm,central_nervous,UBERON:0002037,cerebellum,tissue,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO509HIY/
ENCSR594JGI,brain,unknown,ectoderm,central_nervous,UBERON:0002028,hindbrain,tissue,Mus musculus,Histone ChIP-seq,H3K27ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR597BGP,stomach,unknown,endoderm,digestive,UBERON:0000945,stomach,tissue,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR599GVS,intestine,unknown,endoderm,digestive,UBERON:0000160,intestine,tissue,Mus musculus,Histone ChIP-seq,H3K27ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR599PKR,stomach,unknown,endoderm,digestive,UBERON:0000945,stomach,tissue,Mus musculus,Histone ChIP-seq,H3K36me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR603MWL,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR604AMS,intestine,unknown,endoderm,digestive,UBERON:0000160,intestine,tissue,Mus musculus,Histone ChIP-seq,H3K4me2-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR604DCI,embryo,unknown,unknown,unknown,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,Histone ChIP-seq,H3K36me3-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR606AJV,embryo,unknown,unknown,unknown,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,Histone ChIP-seq,H3K36me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR607HIQ,liver,unknown,endoderm,endocrine,UBERON:0002107,liver,tissue,Mus musculus,Histone ChIP-seq,H3K9ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR607QZE,kidney,unknown,mesoderm,excretory,UBERON:0002113,kidney,tissue,Mus musculus,Histone ChIP-seq,H3K27me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR608QBO,brain,unknown,ectoderm,central_nervous,UBERON:0002028,hindbrain,tissue,Mus musculus,Histone ChIP-seq,H3K4me1-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR609OHJ,liver,unknown,endoderm,endocrine,UBERON:0002107,liver,tissue,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR616TJM,liver,unknown,endoderm,endocrine,UBERON:0002107,liver,tissue,Mus musculus,Histone ChIP-seq,H3K27ac-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR617VBE,brain,unknown,ectoderm,central_nervous,UBERON:0002028,hindbrain,tissue,Mus musculus,Histone ChIP-seq,H3K4me1-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR618HDK,stomach,unknown,endoderm,digestive,UBERON:0000945,stomach,tissue,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR623GSD,brain,unknown,ectoderm,central_nervous,UBERON:0002028,hindbrain,tissue,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR627OCR,lung,unknown,endoderm,respiratory,UBERON:0002048,lung,tissue,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR629AFL,limb,unknown,ectoderm,musculature,UBERON:0002101,limb,tissue,Mus musculus,Histone ChIP-seq,H3K9ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR630AOU,stomach,unknown,endoderm,digestive,UBERON:0000945,stomach,tissue,Mus musculus,Histone ChIP-seq,H3K9me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR631KAJ,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,Histone ChIP-seq,H3K36me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR631QAE,limb,unknown,ectoderm,musculature,UBERON:0002101,limb,tissue,Mus musculus,Histone ChIP-seq,H3K4me2-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR634GFJ,brain,unknown,ectoderm,central_nervous,UBERON:0001890,forebrain,tissue,Mus musculus,Histone ChIP-seq,H3K9me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR634ZDI,kidney,unknown,mesoderm,excretory,UBERON:0002113,kidney,tissue,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO509HIY/
ENCSR636NXY,limb,unknown,ectoderm,musculature,UBERON:0002101,limb,tissue,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR637CCT,brain,unknown,ectoderm,central_nervous,UBERON:0001891,midbrain,tissue,Mus musculus,Histone ChIP-seq,H3K4me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR639DND,intestine,unknown,endoderm,digestive,UBERON:0000160,intestine,tissue,Mus musculus,Histone ChIP-seq,H3K27ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR639IQR,limb,unknown,ectoderm,musculature,UBERON:0002101,limb,tissue,Mus musculus,Histone ChIP-seq,H3K36me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR639KSW,brain,unknown,ectoderm,central_nervous,UBERON:0002028,hindbrain,tissue,Mus musculus,Histone ChIP-seq,H3K9ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR639OQQ,musculature,unknown,unknown,musculature,UBERON:0001388,gastrocnemius,tissue,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO509HIY/
ENCSR641EME,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,Histone ChIP-seq,H3K36me3-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR642VYW,intestine,unknown,endoderm,digestive,UBERON:0000160,intestine,tissue,Mus musculus,Histone ChIP-seq,H3K27ac-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR642ZLN,liver,unknown,endoderm,endocrine,UBERON:0002107,liver,tissue,Mus musculus,Histone ChIP-seq,H3K27me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR645ETR,embryo,unknown,unknown,unknown,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,Histone ChIP-seq,H3K4me1-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR647OTD,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,Histone ChIP-seq,H3K4me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR650UAC,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,Histone ChIP-seq,H3K4me2-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR652CNN,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR653AVN,liver,unknown,endoderm,endocrine,UBERON:0002107,liver,tissue,Mus musculus,Histone ChIP-seq,H3K4me3-mouse,mm10,/mouse-donors/ENCDO469XMJ/
