State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
30	0.77891	0.73152	0.60522	0.53154	0.46838	0.47365	0.35260	0.39471	0.28945	0.37892	0.39997	0.31576	0.34208	0.29998	0.37365	0.45260	0.43681	0.51052	0.61052	0.82105	1.11052
31	2.03665	1.82523	1.56586	1.45058	1.12396	0.95104	0.90301	0.69167	0.71088	0.79734	0.77812	0.88380	0.87419	0.82616	0.75891	0.76852	0.81655	0.99915	1.74850	1.96947	2.74765
32	4.60363	4.09414	4.07456	3.50647	3.54565	3.15386	2.56619	2.21358	1.50837	2.01769	2.60536	2.35071	2.01769	1.93933	1.78262	2.17440	2.76208	4.42748	6.13186	7.62075	8.40438
33	0.74178	0.79738	0.68612	0.74175	0.72321	0.79738	0.66758	0.50068	0.48214	0.51923	0.68612	0.76030	0.63049	0.66758	0.63049	0.83447	0.92719	1.24253	1.52070	2.05851	2.20687
34	0.65942	0.68766	0.82896	0.85722	0.89490	0.70650	0.65940	0.67824	0.57462	0.57462	0.48984	0.37680	0.41448	0.42390	0.32028	0.43332	0.35796	0.40509	0.53698	0.47103	0.54640
35	0.47078	0.47077	0.43332	0.41727	0.53496	0.49751	0.51356	0.39587	0.31028	0.23538	0.20864	0.15514	0.20864	0.24608	0.30493	0.31028	0.32098	0.32100	0.39055	0.56175	0.50825
36	0.67677	0.57722	0.57722	0.71655	0.80612	0.79617	0.60708	0.55732	0.57722	0.55732	0.34833	0.38813	0.35828	0.43789	0.32842	0.22890	0.21895	0.33840	0.26873	0.20901	0.27868
37	0.92161	0.86841	0.93930	1.29375	1.45326	1.64820	2.17988	1.82543	1.68365	1.54187	1.24058	1.32920	0.88613	0.76207	0.74435	0.54940	0.63801	0.65578	0.72668	0.95709	0.76213
38	2.70031	2.47519	3.20650	3.57215	5.17541	7.39745	9.31010	9.87265	7.45371	5.34417	5.56919	3.99406	3.68466	3.43152	3.62841	4.75350	5.40042	5.87901	5.71023	5.79462	5.48520
39	3.31417	3.24572	3.58738	4.27069	6.04730	8.54138	12.19709	17.59524	23.26671	20.84096	15.37448	14.58867	20.84096	23.91586	25.76080	23.91586	22.20758	19.44157	17.73318	13.97470	11.78795
