state (Emission order)	Genome %	ENCFF024JOZ_kidney.bed.gz	ENCFF033UQX_testis.bed.gz	ENCFF052KVO_E14TG2a.4.bed.gz	ENCFF065ODV_MEL.bed.gz	ENCFF086ZTV_olfactory-bulb.bed.gz	ENCFF089EWX_spleen.bed.gz	ENCFF089GBC_midbrain.bed.gz	ENCFF092NMJ_hindbrain.bed.gz	ENCFF097CAQ_bone-marrow.bed.gz	ENCFF136ZDK_liver.bed.gz	ENCFF142CNG_MEL.bed.gz	ENCFF143RZH_layer-of-hippocampus.bed.gz	ENCFF165LXO_lung.bed.gz	ENCFF194HVL_liver.bed.gz	ENCFF198SSR_lung.bed.gz	ENCFF210BTO_small-intestine.bed.gz	ENCFF281QMV_brain.bed.gz	ENCFF316FYN_cerebellum.bed.gz	ENCFF327LYS_intestine.bed.gz	ENCFF349BUL_thymus.bed.gz	ENCFF388VCL_left-cerebral-cortex.bed.gz	ENCFF430PPJ_forebrain.bed.gz	ENCFF491RJK_lung.bed.gz	ENCFF502WDT_MEL.bed.gz	ENCFF504JDS_CH12.LX.bed.gz	ENCFF575MGI_cortical-plate.bed.gz	ENCFF589ZBJ_liver.bed.gz	ENCFF601JVE_G1E.bed.gz	ENCFF609MDN_heart.bed.gz	ENCFF611HDQ_embryonic-fibroblast.bed.gz	ENCFF637GEK_heart.bed.gz	ENCFF649JAA_gastrocnemius.bed.gz	ENCFF660HRL_heart.bed.gz	ENCFF680EMQ_gastrocnemius.bed.gz	ENCFF784ASD_C2C12.bed.gz	ENCFF805QBU_bone-marrow-macrophage.bed.gz	ENCFF883UPM_CH12.LX.bed.gz	ENCFF907XEG_stomach.bed.gz	ENCFF921ILM_layer-of-hippocampus.bed.gz	ENCFF951GOP_heart.bed.gz	ENCFF957SPH_kidney.bed.gz	ENCFF999RIN_left-cerebral-cortex.bed.gz
26	0.45941	2.63173	1.99167	3.09185	2.87341	1.06231	0.74772	2.60690	2.89250	2.02885	3.49921	2.67432	2.38823	2.42064	2.59993	2.94485	2.06724	2.15352	2.56777	2.81600	1.43543	2.53790	2.67947	1.69204	2.92264	1.66970	2.16088	2.99702	1.58286	2.25640	1.61579	2.17246	2.43094	2.36697	1.67318	0.44901	1.64765	2.82763	2.75824	2.39963	2.40476	2.79624	2.38491
27	0.25122	1.09809	0.33853	1.04394	1.64151	0.10862	0.38364	0.99647	0.90227	0.82593	2.40109	0.65235	1.17109	0.78385	0.66809	1.25829	0.76451	0.34988	0.57994	1.52523	0.44205	1.12201	0.89079	0.39711	1.64760	0.89752	0.51985	1.99368	0.92647	0.90003	0.25654	1.01908	0.93287	1.23497	0.61462	0.10788	1.04348	1.45928	1.21082	1.17967	0.78130	0.84430	1.19172
28	0.44105	0.97939	0.16084	1.17078	1.26488	0.09247	0.17407	0.89339	0.82070	0.35692	1.13641	0.48697	1.31157	0.74424	0.42967	1.06258	0.58515	0.33626	0.37810	1.11748	0.14041	1.21161	0.71374	0.27316	1.50766	0.69050	0.33765	1.18601	0.40171	0.60475	0.20693	0.99803	1.00284	1.30063	0.61485	0.07229	0.53812	1.41236	1.08313	1.31126	0.65955	0.51314	1.31724
29	1.22744	0.24508	0.03116	0.23512	0.16922	0.01169	0.00056	0.29032	0.19694	0.02538	0.11725	0.05792	0.43570	0.13834	0.04976	0.17739	0.07203	0.02930	0.05878	0.27845	0.00772	0.27235	0.13373	0.01579	0.27890	0.08963	0.02963	0.13224	0.05699	0.08089	0.07834	0.19541	0.23078	0.31539	0.05746	0.00432	0.06851	0.43805	0.25266	0.48879	0.07597	0.04533	0.51632
30	0.68279	1.08406	0.28322	0.91472	0.63207	0.09944	0.02709	1.00676	0.94326	0.25826	0.81662	0.46088	1.06538	0.76140	0.37125	1.01360	0.44693	0.34273	0.37555	1.17774	0.14167	0.92881	0.75396	0.23354	1.03260	0.45155	0.32618	0.88966	0.30771	0.55309	0.28557	0.74426	0.82627	0.96411	0.35730	0.03533	0.42814	1.23721	1.17553	1.11359	0.47310	0.44556	1.16303
31	0.37406	3.94560	2.47270	3.55610	3.43357	1.42904	1.35224	3.30276	3.69650	2.81164	4.19907	3.32670	3.16011	3.81449	3.97748	4.41142	2.92932	2.77014	3.01971	3.98793	1.96723	3.42914	3.35082	3.07620	3.79533	2.51723	2.95828	4.30606	1.95806	3.67564	1.81883	3.23753	3.50387	3.50480	2.55513	0.57501	2.60411	4.15589	3.91737	3.07014	3.55093	4.10194	3.06919
32	0.18344	12.02434	17.76863	14.32671	17.60158	17.25220	21.10239	11.40012	13.13375	21.87179	15.89286	18.35366	11.71163	14.01471	18.82626	13.69696	19.32586	16.71459	19.71515	12.08558	15.88011	13.08191	13.61184	20.89469	14.46409	17.31762	19.54296	14.53957	21.78889	18.27237	20.33612	14.79880	14.28345	13.18783	17.24209	17.39843	20.05969	11.83049	12.05886	10.91647	18.81847	18.43121	10.71093
33	0.19378	1.13967	0.42170	0.73841	0.38407	0.72591	0.09282	1.87352	2.15961	0.34944	0.58476	0.25248	1.52457	0.94430	0.41371	1.11969	0.42625	0.98791	1.38072	1.03818	0.49995	1.15670	1.68957	0.40154	0.44057	0.32955	0.89939	0.71359	0.27583	0.81994	0.43343	0.62640	0.86830	0.94724	0.41184	0.17855	0.58446	0.73865	1.22937	1.37331	0.65384	0.47145	1.51566
34	0.38146	1.29053	0.35004	0.53556	0.22389	0.39784	0.04684	1.66294	1.63765	0.13055	0.37094	0.14781	0.99120	0.87872	0.28013	0.86376	0.37479	0.92294	0.51523	1.00568	0.27489	0.68886	1.15195	0.22500	0.20037	0.34989	0.44988	0.41683	0.16337	0.56317	0.31976	0.43809	0.53332	0.60474	0.22971	0.09765	0.28930	0.70767	1.01630	0.97881	0.39833	0.25782	0.94449
35	0.67171	0.31657	0.04238	0.21494	0.12554	0.04107	0.00174	0.66872	0.52306	0.01137	0.07578	0.02314	0.43569	0.19542	0.02720	0.14641	0.05147	0.17858	0.08393	0.21065	0.01225	0.22470	0.35099	0.01369	0.07959	0.12434	0.07044	0.08878	0.03621	0.09415	0.05339	0.13196	0.12654	0.17392	0.03895	0.01272	0.04874	0.25720	0.21734	0.45093	0.05271	0.04301	0.39657
36	0.36107	0.74875	0.11774	0.45294	0.19395	0.38017	0.02524	2.39011	2.17513	0.03043	0.23971	0.08394	1.53838	0.69893	0.11594	0.44641	0.15712	1.17792	0.74616	0.55145	0.07271	1.12800	2.08054	0.07125	0.19909	0.41809	0.88330	0.30967	0.16670	0.50263	0.18340	0.40572	0.37484	0.48875	0.25274	0.05811	0.20184	0.53293	0.61386	1.56717	0.24522	0.17400	1.34963
37	0.20276	1.86433	0.69211	1.15474	0.46605	2.56823	0.12627	5.07231	5.23456	0.26967	0.72479	0.32926	2.93554	1.66631	0.65469	1.27386	0.75433	3.67910	2.12354	1.43415	0.46876	2.16782	4.82710	0.48401	0.42023	0.79668	2.21615	0.96199	0.28881	1.42603	0.66589	1.12906	1.24510	1.25979	0.83109	0.48157	0.61265	1.14328	1.55317	2.78296	1.18179	0.53467	2.54460
38	0.12775	6.10872	6.40371	4.20462	3.64296	12.67725	4.84627	9.33719	9.35016	4.66657	4.66715	3.81147	7.72704	6.58535	5.05693	6.09491	6.67395	8.71939	6.90855	5.87410	6.28210	6.10569	9.46605	5.85735	3.18945	5.35567	6.51687	4.48477	4.66817	6.15730	7.01171	6.44669	5.84677	6.50388	5.71413	6.06566	7.87313	3.50047	6.07846	7.09609	5.59617	4.99547	6.83422
39	0.10518	5.59309	3.75854	3.26144	1.42556	8.57267	2.20440	8.46528	8.39743	2.22868	3.60086	1.61137	6.03679	6.59493	3.76182	5.10200	4.48186	7.05129	6.29893	5.19633	2.86963	5.70730	8.95003	3.95994	1.41755	1.99659	5.71535	3.64869	1.40637	5.33346	5.57126	4.71930	4.59369	4.99544	4.20995	3.18503	3.89005	2.14492	5.43240	5.82884	4.60150	3.22563	5.68396
40	0.15099	16.70182	12.47545	4.94620	2.73680	34.47226	13.56541	17.78996	17.86513	12.48655	12.32793	8.19472	13.92503	17.74567	17.37680	20.23152	16.75326	18.56994	13.67381	18.53921	31.48814	15.20252	23.01916	11.60863	4.46846	3.38790	10.75592	13.52504	4.21309	17.13707	18.95318	17.97787	18.14433	17.83707	16.37261	22.59431	13.37673	6.42559	18.44081	14.10075	13.33878	13.60021	14.57363
41	0.18813	10.55575	10.45144	5.57509	7.55211	18.37155	11.89276	11.14319	12.03054	12.74171	14.49197	10.27122	9.26715	11.66135	11.23502	12.99499	17.33352	9.60143	9.26566	11.69764	25.38634	8.84971	12.20198	9.56854	7.98708	7.04033	7.92786	11.57732	9.36611	10.13905	10.37489	11.50561	10.40705	12.11613	9.72651	12.11973	16.29982	7.65022	11.44353	9.13149	10.61891	11.64008	9.40827
42	0.27662	18.35780	18.96235	4.18905	5.16613	36.45560	20.57884	19.52341	19.56995	23.52307	24.83034	18.86660	14.76117	17.17064	18.39273	23.87307	24.88580	15.42467	12.20959	22.06799	95.19881	15.61197	26.32933	11.20670	9.23577	4.49577	8.77639	20.93364	9.60650	17.13480	14.29591	20.90657	21.10960	22.30339	16.81057	24.38615	14.71705	11.11511	21.54949	15.47622	13.72700	16.24058	16.83338
43	0.07376	43.20883	72.18498	33.11684	40.57057	89.60131	89.56832	43.76438	41.87869	75.36756	50.35905	68.84502	32.33297	44.29305	58.22556	44.17984	61.47002	58.74942	54.28350	40.77853	141.27994	41.87239	48.61637	65.64401	41.06755	42.61704	55.08351	48.05355	62.82432	50.39967	82.48138	46.55390	43.78409	41.41832	62.21551	94.60135	59.47201	30.84973	43.49402	33.37942	54.22460	62.85239	34.52220
44	0.13782	14.18916	18.01245	10.77940	14.33603	28.44008	20.14377	12.86332	13.54945	18.25368	15.47352	16.23241	13.31585	15.30718	16.28619	16.02857	20.98209	14.77644	14.77050	14.94519	23.85214	12.51350	13.41945	17.81527	12.44820	16.19901	14.12163	14.94185	19.11171	14.60573	19.54385	16.75338	14.46819	16.00524	17.10239	21.66195	25.98016	10.10037	14.83646	12.27848	16.44635	17.18293	12.18851
45	0.13770	3.87841	2.53742	3.30770	2.92742	3.24134	2.44547	3.73399	3.79032	2.36619	3.27924	2.27411	4.46650	3.98491	3.27943	4.20054	4.53435	3.05231	3.64715	3.98579	1.93037	3.81645	3.84575	3.62166	2.75802	3.72202	3.53626	3.62208	2.48097	4.17911	2.74883	4.71866	4.25444	4.96371	4.01960	2.51474	4.04177	3.19321	4.06047	4.25740	4.13883	2.91338	3.80951
46	0.13671	1.69502	0.33755	0.81961	1.56936	0.42900	0.48482	2.08562	1.93504	0.49194	1.95549	0.73585	1.84231	1.70421	0.60859	1.69713	1.26280	0.72244	0.74507	1.86867	0.44050	1.74547	1.85157	0.33290	1.80861	1.01312	0.69635	1.89942	0.74505	1.07446	0.45258	1.30749	1.23255	1.84755	0.76175	0.41661	1.52254	2.01798	1.83845	1.82822	0.87778	0.71721	1.80341
47	0.13473	0.94052	0.05741	0.54549	0.83839	0.04229	0.12282	1.18434	0.93200	0.19165	1.07052	0.37446	1.16152	0.71706	0.22496	0.91968	0.44376	0.20530	0.22862	1.21236	0.06495	0.89126	0.83378	0.12891	1.13304	0.44256	0.13290	1.07199	0.23328	0.34743	0.05376	0.56903	0.64090	0.79962	0.18447	0.05150	0.54638	1.41898	1.01674	1.20678	0.26981	0.24901	1.18189
48	0.04457	3.47113	2.50203	2.99384	3.54698	4.29625	2.48448	3.66192	3.83009	3.36701	5.14153	2.47738	2.95594	3.66118	3.13026	4.64300	4.59242	2.65083	2.92612	4.24475	3.62320	3.24005	3.95243	2.99936	2.71665	3.21045	2.57003	4.34232	5.14197	3.83463	2.82616	3.13791	2.97748	3.85756	2.60671	1.69935	4.80951	2.77936	3.95492	3.02068	3.38687	2.88618	3.00368
49	0.17544	5.79996	4.69928	3.67980	5.77977	6.19264	7.23751	3.99029	4.56872	9.57102	10.03001	5.60113	4.66553	5.64002	6.95226	7.93270	8.53095	3.78990	4.79658	6.96368	10.47615	4.07182	4.07399	6.52523	5.62490	4.93953	4.40502	8.77475	5.81857	6.62438	4.24643	6.57571	5.39852	6.87799	5.14207	4.80546	9.33135	5.25057	6.20812	4.37091	7.28903	7.13926	4.33218
50	0.28466	2.79368	1.20809	1.85162	2.96967	0.60352	3.16992	1.90136	1.97900	4.89437	3.61735	2.40923	2.27536	2.44335	2.64083	3.75389	3.27670	0.95129	1.29075	3.34567	4.12315	2.19616	1.53252	2.63363	3.36895	2.89711	1.63697	4.73418	1.94743	2.70924	0.93750	2.88213	2.58076	3.22751	1.84771	1.01246	4.42097	4.65416	3.09359	2.14931	3.38536	2.75436	2.28034
51	0.42475	5.14365	1.95255	6.08583	7.53546	0.83348	2.71179	4.48679	4.72746	3.57608	5.61721	3.70296	5.50030	5.19931	3.63651	5.01643	3.56855	2.71552	2.86692	4.66124	1.12071	6.08282	4.37032	2.75760	6.94618	7.54294	3.30134	6.25229	4.81718	5.01092	1.28427	6.05576	5.85250	5.84851	5.23297	0.99573	4.25612	7.03465	4.60643	5.11796	4.70060	3.50558	4.78656
52	1.36888	0.94571	0.12902	0.90174	0.87322	0.06417	0.09927	0.75181	0.65826	0.18469	0.71300	0.27729	1.15238	0.61995	0.22373	0.65601	0.43772	0.16149	0.17333	0.89696	0.13464	0.99282	0.50134	0.11723	1.14282	0.95285	0.17256	0.95804	0.31931	0.35872	0.18395	0.82140	0.86265	1.01429	0.41472	0.02372	0.46482	1.99966	0.85234	1.13523	0.38274	0.26838	1.16193
53	0.45809	1.53380	0.48215	1.32326	1.38725	0.28312	0.87383	1.27128	1.12051	1.25471	1.45939	0.98189	1.43520	1.20729	0.73630	1.40373	1.18902	0.41016	0.51326	1.66871	1.19716	1.17941	0.92713	0.47683	1.66286	1.38640	0.55519	1.98021	0.70681	0.70833	0.48300	1.16249	1.15443	1.33463	0.63443	0.06853	1.28545	3.20203	1.54846	1.45447	0.79960	0.80936	1.45044
54	0.23585	8.00197	8.62133	6.79026	6.72893	9.59562	6.09720	7.08032	8.06735	8.33037	9.10005	6.26138	8.65150	8.93728	9.00560	8.48069	10.75895	7.52029	7.86943	7.97519	10.02342	6.94273	7.65818	9.32608	6.30223	8.42800	7.88064	8.75346	5.96281	9.12972	7.21650	8.31751	7.68062	8.64944	6.59790	6.01772	10.87542	7.76080	7.85029	7.25362	8.47976	7.91457	6.87819
55	0.14094	99.73407	211.11213	126.20674	169.67592	228.74724	276.04025	97.33197	96.34893	207.40242	117.21498	201.48157	86.41959	112.73995	171.90449	102.22853	164.91812	168.55666	183.20734	94.97418	129.78328	113.00033	107.71242	220.40081	141.74737	193.04958	189.71302	117.35766	250.62691	132.22703	253.27239	127.92720	123.14536	100.03633	198.30222	313.70680	211.59807	93.53457	96.15896	86.15198	169.68319	184.95893	83.30421
56	0.19527	80.91091	102.58800	110.88999	119.99110	58.68827	117.82040	78.83980	83.07059	116.57429	94.98487	122.57224	75.72606	98.25235	123.29997	82.88784	95.64919	125.49510	127.35913	74.57641	37.74546	95.08974	91.17269	137.28484	110.22005	134.00133	143.89217	94.76876	126.54482	131.84060	100.23448	104.40560	103.52339	81.97371	132.92092	91.10866	93.34515	83.61108	75.33205	73.06078	128.31082	118.57798	69.51906
57	0.21555	3.17150	1.37044	4.22535	4.39096	1.99588	0.49803	3.54639	3.20633	0.93165	3.44499	1.01633	7.43082	2.94421	1.43100	2.66331	2.85899	1.49491	2.60412	3.03377	1.30616	3.81639	3.36842	0.99743	2.85943	6.33475	2.04858	2.77225	3.59215	2.66460	1.61998	5.12603	4.09493	5.89472	2.78938	0.65921	3.46260	3.02739	3.04141	5.66769	2.30991	1.47386	4.90119
58	0.15371	2.55486	1.79355	1.99843	0.92591	3.55273	0.74443	3.95705	4.27942	0.90270	1.75786	0.99523	2.86352	2.70540	1.73119	1.93298	1.69116	3.40639	2.99915	2.27565	1.44829	2.30946	3.72971	1.52715	0.92605	1.33573	2.76311	1.75416	0.78809	2.14432	1.80888	1.72346	1.77590	1.87989	1.25765	0.95807	1.88752	1.78031	2.18548	2.63701	1.54925	1.40550	2.67598
59	0.37856	0.64050	0.26306	0.53959	0.16647	0.31850	0.01853	0.89442	0.92255	0.07540	0.27301	0.11871	0.62016	0.56895	0.17908	0.42775	0.23085	0.39930	0.32536	0.50919	0.10116	0.43605	0.65322	0.07172	0.18858	0.34778	0.35977	0.31490	0.13040	0.29153	0.12985	0.23262	0.33875	0.32481	0.09178	0.02516	0.22757	0.60470	0.52058	0.57225	0.16238	0.16762	0.57634
60	0.22083	2.44250	1.92449	2.47685	2.49426	1.42762	1.43026	2.27386	2.35796	2.35809	2.74187	2.28507	2.05650	2.61256	2.43905	2.73828	2.72878	1.99694	2.12435	2.68321	1.97929	2.02095	2.12581	2.07461	2.31544	2.20610	1.84210	2.49283	1.72941	2.26485	1.60238	1.83411	1.98221	2.04117	1.42463	0.95650	2.45413	2.78364	2.40180	1.90315	1.93439	2.32366	1.96611
61	0.76373	0.32406	0.15426	0.34258	0.38008	0.05647	0.02897	0.32505	0.28286	0.11817	0.23230	0.09798	0.37622	0.22878	0.11573	0.26005	0.19783	0.08061	0.12619	0.38600	0.12889	0.26623	0.20493	0.05036	0.30833	0.30310	0.09248	0.28638	0.25222	0.12733	0.19575	0.16113	0.21375	0.25147	0.06805	0.01594	0.17433	0.62517	0.32296	0.39456	0.09707	0.11351	0.39426
62	2.65027	0.11181	0.02508	0.12877	0.10560	0.00963	0.00336	0.10928	0.08701	0.01448	0.06417	0.02207	0.17853	0.06827	0.01497	0.06802	0.02639	0.01435	0.02892	0.12877	0.00518	0.09501	0.05499	0.00878	0.11174	0.10824	0.01339	0.06970	0.06723	0.02891	0.12188	0.05598	0.07090	0.10590	0.01711	0.00067	0.03680	0.34197	0.12606	0.19303	0.03052	0.02783	0.20461
63	8.00941	0.11768	0.00792	0.14093	0.08170	0.00235	0.00060	0.11214	0.07862	0.00321	0.06580	0.01473	0.26663	0.05894	0.01165	0.05423	0.02514	0.01101	0.04832	0.11082	0.00569	0.14283	0.05425	0.00281	0.13463	0.08719	0.00928	0.06552	0.02751	0.02156	0.04446	0.08770	0.10250	0.15870	0.02740	0.00022	0.02018	0.29497	0.10548	0.27735	0.01989	0.01515	0.29770
64	0.94175	0.34297	0.06211	0.21732	0.08227	0.01773	0.00573	0.56945	0.51196	0.02660	0.08319	0.00905	0.42708	0.22473	0.03301	0.15156	0.05956	0.15740	0.12580	0.23641	0.01949	0.26175	0.33138	0.02461	0.05008	0.17176	0.16186	0.09687	0.06933	0.13796	0.08618	0.10445	0.11675	0.17189	0.03796	0.00000	0.05040	0.29544	0.28003	0.44271	0.05854	0.05064	0.45122
65	0.81141	0.33880	0.36671	0.50553	0.17267	0.09313	0.00610	0.37883	0.33197	0.07682	0.17300	0.09636	0.39083	0.27157	0.10026	0.14562	0.04868	0.16288	0.13596	0.31821	0.02343	0.30462	0.21682	0.04504	0.19073	0.19400	0.14461	0.14280	0.26338	0.10089	0.49149	0.11741	0.14837	0.17209	0.03349	0.00008	0.03659	0.46836	0.33114	0.39957	0.06033	0.07656	0.45057
66	2.40743	0.09021	0.01833	0.11279	0.03412	0.00803	0.00000	0.12859	0.08922	0.00314	0.01979	0.00270	0.14305	0.05072	0.01092	0.03570	0.00968	0.02536	0.01548	0.06520	0.00170	0.08725	0.05763	0.00330	0.01288	0.05912	0.01671	0.02133	0.04178	0.01926	0.09953	0.03036	0.03782	0.04954	0.00898	0.00170	0.00726	0.11156	0.06451	0.14280	0.01170	0.01574	0.15123
67	3.56001	0.03180	0.00282	0.06823	0.02670	0.00000	0.00000	0.04389	0.03106	0.00011	0.00956	0.01067	0.08284	0.01732	0.00542	0.00941	0.00285	0.00682	0.01466	0.02629	0.00000	0.04802	0.01546	0.00004	0.05023	0.02143	0.00491	0.01240	0.00928	0.00757	0.02279	0.01686	0.01693	0.03119	0.00239	0.00000	0.00187	0.08520	0.03429	0.09037	0.00240	0.00433	0.09965
68	16.39324	0.03154	0.00143	0.04010	0.01214	0.00033	0.00000	0.04230	0.02470	0.00026	0.00608	0.00203	0.08782	0.01305	0.00224	0.00939	0.00226	0.00324	0.09549	0.01863	0.00017	0.05313	0.01801	0.00044	0.01794	0.01297	0.00293	0.00700	0.00216	0.00484	0.00963	0.01808	0.02009	0.03341	0.00450	0.00006	0.00068	0.04729	0.02317	0.09698	0.00240	0.00204	0.09609
69	0.52423	0.09805	0.01797	0.12251	0.06024	0.00448	0.00223	0.13461	0.08450	0.00164	0.03129	0.03227	0.16688	0.05063	0.02011	0.03646	0.01268	0.03992	0.03111	0.08308	0.00344	0.09786	0.06472	0.00233	0.13266	0.04174	0.02332	0.02553	0.01513	0.03452	0.11354	0.04744	0.06281	0.08397	0.01191	0.00000	0.01049	0.21542	0.09880	0.17952	0.00999	0.01394	0.18676
70	1.23058	0.32707	0.29632	1.12587	0.58697	0.01121	0.00702	0.42734	0.31958	0.04538	0.36720	0.23243	0.42002	0.34932	0.10025	0.21071	0.14174	0.16129	0.06559	0.38219	0.02545	0.32884	0.24847	0.03153	0.63078	0.24669	0.07122	0.32287	0.13073	0.06194	0.04677	0.25696	0.30816	0.34899	0.08233	0.00000	0.09233	0.52230	0.40361	0.51226	0.06983	0.10298	0.54280
71	0.74494	0.18421	0.27883	0.80068	0.43120	0.00926	0.00141	0.24475	0.18672	0.03593	0.21756	0.19486	0.25541	0.21422	0.06769	0.08910	0.07103	0.11333	0.04765	0.21617	0.01058	0.19857	0.14154	0.00588	0.38055	0.21813	0.03613	0.22451	0.10344	0.03769	0.00998	0.14356	0.17933	0.19408	0.03231	0.00000	0.04150	0.32225	0.22758	0.28606	0.02539	0.06255	0.30626
72	0.20110	1.54205	3.32074	4.10152	3.12051	0.15011	0.12373	1.67936	1.49783	0.81535	2.05127	2.07456	1.31865	1.92805	1.12638	1.08907	1.28872	1.61630	0.57677	1.65669	0.26124	1.37688	1.32078	0.44498	2.70142	1.40680	0.43426	1.84329	0.79941	0.36087	0.17241	1.04824	1.50723	1.21952	0.49834	0.00000	0.63444	1.60706	1.67575	1.39909	0.38383	0.95055	1.43211
73	1.09641	0.02301	0.00855	0.11730	0.05359	0.00000	0.00000	0.01678	0.01947	0.00040	0.02443	0.00727	0.04278	0.01609	0.01242	0.00945	0.00635	0.00405	0.00202	0.02790	0.00000	0.03073	0.00887	0.00012	0.04566	0.03818	0.00135	0.02995	0.01033	0.00799	0.00000	0.02790	0.03567	0.04461	0.00162	0.00000	0.00280	0.08976	0.02842	0.04716	0.00226	0.00570	0.06558
74	2.79993	0.02636	0.00851	0.07109	0.03259	0.00008	0.00000	0.02242	0.01761	0.00107	0.02255	0.01019	0.03983	0.01818	0.00375	0.00893	0.00774	0.00437	0.00891	0.02517	0.00025	0.03463	0.01102	0.00106	0.04661	0.02102	0.00153	0.01926	0.00629	0.00417	0.00305	0.02244	0.02606	0.03734	0.00653	0.00000	0.00379	0.05545	0.02421	0.04892	0.00270	0.00378	0.05205
75	15.09989	0.00392	0.00034	0.00639	0.00275	0.00000	0.00006	0.00326	0.00252	0.00003	0.00178	0.00023	0.00895	0.00164	0.00024	0.00148	0.00060	0.00039	0.00850	0.00306	0.00000	0.00570	0.00122	0.00007	0.00379	0.00181	0.00013	0.00227	0.00084	0.00072	0.00072	0.00334	0.00496	0.00609	0.00111	0.00000	0.00022	0.00896	0.00304	0.01052	0.00041	0.00015	0.01051
76	1.77495	0.07103	0.02794	0.17332	0.09442	0.00403	0.00052	0.07926	0.05263	0.00611	0.06471	0.02450	0.13533	0.05453	0.01260	0.03904	0.03117	0.02371	0.01753	0.08111	0.00731	0.07933	0.04560	0.00459	0.10197	0.05243	0.00663	0.05516	0.02938	0.01441	0.01226	0.05801	0.06682	0.09224	0.01951	0.00000	0.01576	0.14832	0.08435	0.14323	0.01479	0.01709	0.14789
77	0.25247	11.14832	18.28072	21.61078	19.05926	1.76222	2.24938	11.15350	10.40698	8.57467	14.36324	16.41875	8.60916	13.33330	9.17467	9.75331	9.47128	12.22617	4.77577	11.42767	2.18476	10.24563	9.26648	4.66127	17.78756	10.30376	5.10908	13.50937	7.48698	4.38532	3.14755	7.95276	10.14390	8.11968	4.78223	0.37676	5.92079	13.26284	12.03840	9.37814	5.11092	9.83732	9.27347
78	0.04191	26.47597	62.56119	37.93596	45.24726	14.59060	26.21638	25.38628	27.69257	49.07575	32.31910	49.29627	18.45894	34.10328	42.38832	27.02501	41.96387	44.24361	31.85037	23.40286	15.19929	29.54056	29.72294	38.69588	37.38576	37.95138	30.63163	31.02141	47.26984	27.12633	28.91023	26.55134	28.81859	21.39960	29.39098	6.57605	32.97452	28.81581	23.18249	18.31108	31.28725	41.68854	18.01598
79	0.23535	1.06168	0.72547	2.03067	1.57748	0.04385	0.04675	1.11062	0.86368	0.29616	1.22121	0.68946	1.10054	0.94374	0.41730	0.92064	0.72393	0.40611	0.24499	1.15703	0.08084	1.05617	0.74952	0.17130	1.70712	0.67994	0.17309	1.12537	0.40073	0.23461	0.18698	0.90739	1.11190	1.15453	0.32458	0.00000	0.42000	1.14020	1.12439	1.27459	0.41122	0.51789	1.31875
