state (Emission order)	Genome %	ENCFF024JOZ_kidney.bed.gz	ENCFF033UQX_testis.bed.gz	ENCFF052KVO_E14TG2a.4.bed.gz	ENCFF065ODV_MEL.bed.gz	ENCFF086ZTV_olfactory-bulb.bed.gz	ENCFF089EWX_spleen.bed.gz	ENCFF089GBC_midbrain.bed.gz	ENCFF092NMJ_hindbrain.bed.gz	ENCFF097CAQ_bone-marrow.bed.gz	ENCFF136ZDK_liver.bed.gz	ENCFF142CNG_MEL.bed.gz	ENCFF143RZH_layer-of-hippocampus.bed.gz	ENCFF165LXO_lung.bed.gz	ENCFF194HVL_liver.bed.gz	ENCFF198SSR_lung.bed.gz	ENCFF210BTO_small-intestine.bed.gz	ENCFF281QMV_brain.bed.gz	ENCFF316FYN_cerebellum.bed.gz	ENCFF327LYS_intestine.bed.gz	ENCFF349BUL_thymus.bed.gz	ENCFF388VCL_left-cerebral-cortex.bed.gz	ENCFF430PPJ_forebrain.bed.gz	ENCFF491RJK_lung.bed.gz	ENCFF502WDT_MEL.bed.gz	ENCFF504JDS_CH12.LX.bed.gz	ENCFF575MGI_cortical-plate.bed.gz	ENCFF589ZBJ_liver.bed.gz	ENCFF601JVE_G1E.bed.gz	ENCFF609MDN_heart.bed.gz	ENCFF611HDQ_embryonic-fibroblast.bed.gz	ENCFF637GEK_heart.bed.gz	ENCFF649JAA_gastrocnemius.bed.gz	ENCFF660HRL_heart.bed.gz	ENCFF680EMQ_gastrocnemius.bed.gz	ENCFF784ASD_C2C12.bed.gz	ENCFF805QBU_bone-marrow-macrophage.bed.gz	ENCFF883UPM_CH12.LX.bed.gz	ENCFF907XEG_stomach.bed.gz	ENCFF921ILM_layer-of-hippocampus.bed.gz	ENCFF951GOP_heart.bed.gz	ENCFF957SPH_kidney.bed.gz	ENCFF999RIN_left-cerebral-cortex.bed.gz
90	1.57486	0.26837	0.01709	0.21949	0.12112	0.02766	0.00036	0.48215	0.37544	0.00465	0.07999	0.01800	0.55075	0.16454	0.04121	0.10889	0.04326	0.08332	0.08574	0.16776	0.01119	0.32668	0.33054	0.00782	0.13027	0.15168	0.05206	0.10066	0.04593	0.09054	0.08293	0.17465	0.15576	0.25255	0.07660	0.00414	0.03945	0.22373	0.20011	0.52827	0.05529	0.02418	0.41718
91	0.62008	1.83488	0.07118	0.98170	0.38464	0.10772	0.00406	2.62769	2.79290	0.01350	0.28149	0.21927	2.61363	1.59585	0.43520	1.10419	0.12818	1.22214	1.17291	1.37658	0.01535	2.60173	2.99806	0.18799	1.09884	0.51458	1.52703	0.87912	0.10376	1.50857	0.12860	1.11708	1.07553	1.23358	0.70904	0.06683	0.08175	1.31564	1.66683	2.55415	0.58970	0.28104	2.34441
92	1.37500	0.37130	0.01643	0.17891	0.09099	0.01736	0.00451	0.62443	0.55368	0.00752	0.06650	0.02422	0.85789	0.20277	0.05101	0.17350	0.03764	0.10986	0.29762	0.26186	0.00571	0.91427	0.54885	0.01940	0.17487	0.11540	0.33548	0.12770	0.02868	0.20396	0.04090	0.20448	0.24013	0.28270	0.08865	0.00774	0.02419	0.42418	0.33649	0.91935	0.10110	0.05930	1.06483
93	0.33586	0.67142	0.22354	0.32629	0.26991	0.16436	0.03035	0.55781	0.55592	0.10168	0.35157	0.15544	0.62818	0.58847	0.28462	1.19272	0.32823	0.11060	0.34621	0.89704	0.17536	0.53822	0.36856	0.27101	0.29199	0.17644	0.24526	0.51285	0.19047	1.97132	0.20579	1.47178	1.07984	1.99882	0.41926	0.08284	0.39247	0.58463	0.76656	0.65928	1.20473	0.28198	0.86354
94	0.73199	0.22840	0.01883	0.16708	0.08717	0.00488	0.00156	0.20237	0.16618	0.01810	0.07330	0.02280	0.29916	0.13739	0.04875	0.23758	0.07708	0.03377	0.06180	0.26248	0.00949	0.26509	0.13233	0.02104	0.13366	0.10127	0.04457	0.13777	0.07468	0.45380	0.07934	0.38097	0.31563	0.66141	0.08471	0.00398	0.05120	0.30467	0.25565	0.33071	0.25220	0.05063	0.38146
95	0.40352	1.77274	0.38162	0.54279	0.22139	0.28431	0.01887	1.06585	1.16125	0.11787	0.46108	0.09752	0.80547	1.61456	0.40294	1.46860	0.42585	0.66430	0.27724	1.33451	0.21767	0.66770	0.87414	0.39690	0.22849	0.30957	0.50687	0.63892	0.15546	0.85564	0.46694	0.61295	0.83469	0.79018	0.40870	0.19314	0.29852	0.86576	1.50806	0.81949	0.72727	0.44694	0.82966
96	0.91587	0.54284	0.02749	0.20266	0.09828	0.00898	0.00026	0.40226	0.35834	0.02198	0.08735	0.02809	0.37574	0.33895	0.05292	0.27958	0.04425	0.17677	0.06885	0.35566	0.00626	0.24207	0.24446	0.02745	0.12204	0.19506	0.09526	0.14062	0.05290	0.20044	0.10077	0.16300	0.22407	0.23292	0.08219	0.01808	0.04298	0.36893	0.41877	0.37719	0.12512	0.08098	0.35369
97	0.34567	1.00603	0.39328	1.03877	1.39908	0.11162	0.09765	0.77396	0.80223	0.52011	1.91627	1.05556	0.92451	0.74489	0.68195	0.98335	0.75381	0.27396	0.35755	1.29277	0.21745	0.72997	0.56616	0.25130	1.75655	0.67468	0.29916	1.47065	0.71698	0.50148	0.18281	0.63172	0.68696	0.86755	0.35327	0.05577	0.87515	1.52862	1.09152	0.96234	0.46143	0.56952	0.96342
98	0.22716	1.30075	0.58764	0.97819	2.36582	0.34366	0.55361	1.08764	1.09255	2.20241	6.67699	1.48021	1.29848	1.08672	1.05046	1.51443	1.36387	0.44646	0.70056	1.84273	1.00078	0.98201	0.95333	0.70883	2.50950	1.14102	0.61896	3.95199	1.27102	1.22717	0.49473	1.15183	0.95997	1.41416	0.56970	0.24799	1.50795	1.81965	1.45728	1.19334	0.87861	0.85907	1.21832
99	0.31115	0.45764	0.08437	0.32605	0.80301	0.00651	0.03305	0.36632	0.29448	0.18091	2.12329	0.24871	0.61579	0.22050	0.18385	0.38669	0.12607	0.04257	0.05188	0.58852	0.03650	0.42175	0.27207	0.05052	1.11350	0.24514	0.08677	1.35011	0.24395	0.17444	0.08825	0.27905	0.32209	0.51654	0.15437	0.00179	0.12691	0.77649	0.49120	0.67649	0.14149	0.13727	0.65722
100	0.90366	0.37688	0.02269	0.34669	0.67395	0.02420	0.00113	0.32256	0.23274	0.04376	0.52335	0.22182	0.56932	0.19349	0.06822	0.22327	0.12114	0.04052	0.04414	0.37519	0.01706	0.39749	0.17254	0.00967	1.00670	0.20088	0.04146	0.41106	0.10714	0.09521	0.05144	0.27178	0.29286	0.42077	0.09652	0.00293	0.10798	0.67422	0.35874	0.59632	0.06518	0.05734	0.60891
Base	100	0.67076	0.18037	0.40586	0.34009	0.14654	0.12215	0.68059	0.63595	0.17500	0.51431	0.19198	1.03475	0.50994	0.23172	0.59698	0.27052	0.25404	0.24025	0.74440	0.22346	0.55396	0.54426	0.16213	0.36952	0.29674	0.21268	0.52103	0.16847	0.32722	0.11375	0.59006	0.55014	0.86077	0.28848	0.11187	0.24249	0.53201	0.72473	0.98187	0.28165	0.24503	0.99946
